Date : 2021-05-11 23:02:47
Directory : ./
Total : 764 files,  103643 codes, 40894 comments, 28426 blanks, all 172963 lines, 28.29% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
| scripts/lcm-log2smat/python/lcmlog2smat                                           |          3 |        282 |         59 |         73 |        414 |       17.30% |
| scripts/lcm-log2smat/python                                                       |          3 |        282 |         59 |         73 |        414 |       17.30% |
| third-party/osqp/lin_sys/direct/pardiso                                           |          4 |        281 |        114 |        104 |        499 |       28.86% |
| common/src/SimUtilities                                                           |          3 |        274 |         88 |         50 |        412 |       24.31% |
| third-party/osqp/ci                                                               |          7 |        265 |         43 |         91 |        399 |       13.96% |
| config                                                                            |         13 |        241 |        161 |         61 |        463 |       40.05% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/julia                         |          3 |        239 |         84 |        109 |        432 |       26.01% |
| third-party/vectornav/include/vn/xplat                                            |          5 |        230 |        161 |         98 |        489 |       41.18% |
| common/test/python_plot                                                           |          4 |        222 |         31 |         40 |        293 |       12.25% |
| user/MIT_Controller/Controllers/WBC_Ctrl/LocomotionCtrl                           |          2 |        208 |         12 |         65 |        285 |        5.45% |
| third-party/vectornav/include/vn/sensors                                          |          3 |        205 |        145 |         52 |        402 |       41.43% |
| common/include/Collision                                                          |          7 |        203 |        155 |         83 |        441 |       43.30% |
| third-party/osqp/tests/primal_dual_infeasibility                                  |          3 |        184 |         41 |         56 |        281 |       18.22% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/examples                      |          2 |        180 |         45 |         64 |        289 |       20.00% |
| third-party/qpOASES/include/qpOASES/extras                                        |          3 |        174 |        226 |         70 |        470 |       56.50% |
| third-party/SOEM/osal                                                             |          3 |        171 |        105 |         39 |        315 |       38.04% |
| rc_test                                                                           |          1 |        161 |         11 |         44 |        216 |        6.40% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/src                           |          1 |        158 |         70 |         66 |        294 |       30.70% |
| third-party/ParamHandler/src/contrib                                              |          3 |        154 |          0 |         39 |        193 |        0.00% |
| third-party/osqp/ci/travis                                                        |          4 |        152 |         43 |         57 |        252 |       22.05% |
| robot/include/rt                                                                  |          6 |        149 |         32 |         68 |        249 |       17.68% |
| third-party/osqp/tests/basic_qp2                                                  |          3 |        148 |         48 |         74 |        270 |       24.49% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/julia                   |          1 |        145 |          9 |         50 |        204 |        5.84% |
| documentation                                                                     |          3 |        131 |          0 |         59 |        190 |        0.00% |
| third-party/SOEM/osal/linux                                                       |          2 |        130 |         85 |         29 |        244 |       39.53% |
| third-party/vectornav/include/vn/math                                             |          2 |        128 |         78 |         55 |        261 |       37.86% |
| common/FootstepPlanner                                                            |          2 |        123 |          2 |         34 |        159 |        1.60% |
| third-party/vectornav/src/vn/math                                                 |          2 |        122 |         74 |         47 |        243 |       37.76% |
| third-party/ParamHandler/dynacore_yaml-cpp/contrib                                |          2 |        120 |         32 |         36 |        188 |       21.05% |
| third-party/osqp/docs/_static/css                                                 |          1 |        118 |         25 |         49 |        192 |       17.48% |
| third-party/osqp/docs/_static                                                     |          1 |        118 |         25 |         49 |        192 |       17.48% |
| third-party/osqp/ci/appveyor                                                      |          3 |        113 |          0 |         34 |        147 |        0.00% |
| user/MIT_Controller/Controllers/WBC_Ctrl/ContactSet                               |          4 |        113 |          9 |         37 |        159 |        7.38% |
| third-party/osqp/configure/cmake                                                  |          3 |        109 |          0 |         26 |        135 |        0.00% |
| third-party/osqp/configure                                                        |          3 |        109 |          0 |         26 |        135 |        0.00% |
| third-party/osqp/tests/solve_linsys                                               |          3 |        105 |         29 |         38 |        172 |       21.64% |
| user/Example_Leg_InvDyn                                                           |          4 |        104 |         22 |         38 |        164 |       17.46% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/examples/c                    |          1 |        104 |         35 |         39 |        178 |       25.18% |
| common/include/SparseCMPC                                                         |          1 |         96 |          7 |         29 |        132 |        6.80% |
| user/JPos_Controller                                                              |          4 |         84 |         12 |         26 |        122 |       12.50% |
| cmake                                                                             |          3 |         81 |          0 |         15 |         96 |        0.00% |
| lcm_data/matlab_plot/functions                                                    |          2 |         79 |          0 |          3 |         82 |        0.00% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/examples/julia                |          1 |         76 |         10 |         25 |        111 |       11.63% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/include                       |          2 |         58 |        116 |         23 |        197 |       66.67% |
| user/MiniCheetahSpi_Controller                                                    |          3 |         56 |          0 |         15 |         71 |        0.00% |
| third-party/osqp/tests/primal_infeasibility                                       |          3 |         55 |         17 |         31 |        103 |       23.61% |
| config/stair-climb                                                                |          2 |         55 |         57 |         13 |        125 |       50.89% |
| third-party/vectornav/include/vn/util                                             |          3 |         50 |         10 |         15 |         75 |       16.67% |
| third-party/osqp/tests/unconstrained                                              |          3 |         48 |         15 |         26 |         89 |       23.81% |
| third-party/osqp/tests/non_cvx                                                    |          3 |         47 |         16 |         30 |         93 |       25.40% |
| third-party/osqp/examples                                                         |          1 |         43 |          8 |         14 |         65 |       15.69% |
| third-party/lord_imu/test                                                         |          1 |         27 |          3 |         10 |         40 |       10.00% |
| third-party/osqp/docs/_templates                                                  |          1 |         19 |          0 |          2 |         21 |        0.00% |
| Experiment/visualization                                                          |          1 |         14 |          0 |          6 |         20 |        0.00% |
| Experiment                                                                        |          1 |         14 |          0 |          6 |         20 |        0.00% |
| documentation/doxygen                                                             |          1 |         10 |          0 |          2 |         12 |        0.00% |
| lcm-types/old_types                                                               |          1 |          1 |          0 |          1 |          2 |        0.00% |
| lcm-types                                                                         |          1 |          1 |          0 |          1 |          2 |        0.00% |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+

Files
+-----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+--------------+
| filename                                                                          | language         | code       | comment    | blank      | total      | comment rate |
+-----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+--------------+
| Experiment/visualization/visual.py                                                | Python           |         14 |          0 |          6 |         20 |        0.00% |
| README.md                                                                         | Markdown         |         61 |          0 |         13 |         74 |        0.00% |
| cmake/FindCASADI.cmake                                                            | CMake            |         25 |          0 |          5 |         30 |        0.00% |
| cmake/FindIPOPT.cmake                                                             | CMake            |         31 |          0 |          5 |         36 |        0.00% |
| cmake/Qt5CoreConfig.cmake                                                         | CMake            |         25 |          0 |          5 |         30 |        0.00% |
| common/DownloadProject.cmake                                                      | CMake            |        170 |          0 |         13 |        183 |        0.00% |
| common/FootstepPlanner/GraphSearch.cpp                                            | C++              |         39 |          0 |          8 |         47 |        0.00% |
| common/FootstepPlanner/GraphSearch.h                                              | C++              |         84 |          2 |         26 |        112 |        2.33% |
| common/include/Collision/Collision.h                                              | C++              |         16 |         22 |          8 |         46 |       57.89% |
| common/include/Collision/CollisionBox.h                                           | C++              |         27 |         17 |         10 |         54 |       38.64% |
| common/include/Collision/CollisionMesh.h                                          | C++              |         31 |         16 |         11 |         58 |       34.04% |
| common/include/Collision/CollisionPlane.h                                         | C++              |         18 |         15 |         10 |         43 |       45.45% |
| common/include/Collision/ContactConstraint.h                                      | C++              |         46 |         39 |         21 |        106 |       45.88% |
| common/include/Collision/ContactImpulse.h                                         | C++              |         38 |         24 |         12 |         74 |       38.71% |
| common/include/Collision/ContactSpringDamper.h                                    | C++              |         27 |         22 |         11 |         60 |       44.90% |
| common/include/ControlParameters/ControlParameterInterface.h                      | C++              |         88 |         30 |         12 |        130 |       25.42% |
| common/include/ControlParameters/ControlParameters.h                              | C++              |        339 |        175 |         53 |        567 |       34.05% |
| common/include/ControlParameters/RobotParameters.h                                | C++              |         45 |         14 |          9 |         68 |       23.73% |
| common/include/ControlParameters/SimulatorParameters.h                            | C++              |         54 |         10 |         12 |         76 |       15.63% |
| common/include/Controllers/ContactEstimator.h                                     | C++              |         13 |         19 |          7 |         39 |       59.38% |
| common/include/Controllers/DesiredStateCommand.h                                  | C++              |         67 |         34 |         28 |        129 |       33.66% |
| common/include/Controllers/FootSwingTrajectory.h                                  | C++              |         38 |         36 |         15 |         89 |       48.65% |
| common/include/Controllers/GaitScheduler.h                                        | C++              |         74 |         35 |         27 |        136 |       32.11% |
| common/include/Controllers/LegController.h                                        | C++              |         54 |         21 |         16 |         91 |       28.00% |
| common/include/Controllers/OrientationEstimator.h                                 | C++              |         19 |         18 |          7 |         44 |       48.65% |
| common/include/Controllers/PositionVelocityEstimator.h                            | C++              |         28 |         16 |          7 |         51 |       36.36% |
| common/include/Controllers/StateEstimatorContainer.h                              | C++              |        123 |         49 |         22 |        194 |       28.49% |
| common/include/Dynamics/ActuatorModel.h                                           | C++              |         35 |         37 |         13 |         85 |       51.39% |
| common/include/Dynamics/Cheetah3.h                                                | C++              |         76 |         24 |         19 |        119 |       24.00% |
| common/include/Dynamics/DynamicsSimulator.h                                       | C++              |         79 |         76 |         24 |        179 |       49.03% |
| common/include/Dynamics/FloatingBaseModel.h                                       | C++              |        167 |         77 |         56 |        300 |       31.56% |
| common/include/Dynamics/MiniCheetah.h                                             | C++              |         77 |         19 |         19 |        115 |       19.79% |
| common/include/Dynamics/Quadruped.h                                               | C++              |         59 |         34 |         15 |        108 |       36.56% |
| common/include/Dynamics/SpatialInertia.h                                          | C++              |        102 |         51 |         21 |        174 |       33.33% |
| common/include/Dynamics/spatial.h                                                 | C++              |        246 |         80 |         35 |        361 |       24.54% |
| common/include/Math/FirstOrderIIRFilter.h                                         | C++              |         23 |         32 |         10 |         65 |       58.18% |
| common/include/Math/Interpolation.h                                               | C++              |         41 |         18 |         10 |         69 |       30.51% |
| common/include/Math/MathUtilities.h                                               | C++              |         28 |         10 |          8 |         46 |       26.32% |
| common/include/Math/orientation_tools.h                                           | C++              |        270 |         74 |         41 |        385 |       21.51% |
| common/include/SimUtilities/GamepadCommand.h                                      | C++              |         94 |         29 |         13 |        136 |       23.58% |
| common/include/SimUtilities/IMUTypes.h                                            | C++              |         17 |         10 |          6 |         33 |       37.04% |
| common/include/SimUtilities/ImuSimulator.h                                        | C++              |         44 |          6 |         10 |         60 |       12.00% |
| common/include/SimUtilities/SimulatorMessage.h                                    | C++              |         55 |         62 |         22 |        139 |       52.99% |
| common/include/SimUtilities/SpineBoard.h                                          | C++              |         54 |         14 |         13 |         81 |       20.59% |
| common/include/SimUtilities/VisualizationData.h                                   | C++              |        109 |         55 |         24 |        188 |       33.54% |
| common/include/SimUtilities/ti_boardcontrol.h                                     | C++              |         56 |         15 |         16 |         87 |       21.13% |
| common/include/SparseCMPC/SparseCMPC.h                                            | C++              |         96 |          7 |         29 |        132 |        6.80% |
| common/include/Types.h                                                            | C++              |          9 |          0 |          4 |         13 |        0.00% |
| common/include/Utilities/BSplineBasic.h                                           | C++              |        310 |         74 |         79 |        463 |       19.27% |
| common/include/Utilities/BezierCurve.h                                            | C++              |         91 |          3 |          9 |        103 |        3.19% |
| common/include/Utilities/EdgeTrigger.h                                            | C++              |         18 |          0 |          5 |         23 |        0.00% |
| common/include/Utilities/PeriodicTask.h                                           | C++              |         84 |         34 |         24 |        142 |       28.81% |
| common/include/Utilities/SegfaultHandler.h                                        | C++              |          5 |          7 |          5 |         17 |       58.33% |
| common/include/Utilities/SharedMemory.h                                           | C++              |        196 |         95 |         40 |        331 |       32.65% |
| common/include/Utilities/Timer.h                                                  | C++              |         20 |         21 |         11 |         52 |       51.22% |
| common/include/Utilities/Utilities_print.h                                        | C++              |        108 |          7 |         19 |        134 |        6.09% |
| common/include/Utilities/filters.h                                                | C++              |        112 |          0 |         16 |        128 |        0.00% |
| common/include/Utilities/pseudoInverse.h                                          | C++              |         29 |         10 |          3 |         42 |       25.64% |
| common/include/Utilities/save_file.h                                              | C++              |         66 |          0 |         14 |         80 |        0.00% |
| common/include/Utilities/utilities.h                                              | C++              |        183 |         85 |         38 |        306 |       31.72% |
| common/include/cTypes.h                                                           | C++              |         13 |          9 |          5 |         27 |       40.91% |
| common/include/cppTypes.h                                                         | C++              |         59 |         32 |         31 |        122 |       35.16% |
| common/src/Collision/CollisionBox.cpp                                             | C++              |         68 |         24 |          6 |         98 |       26.09% |
| common/src/Collision/CollisionMesh.cpp                                            | C++              |         45 |         12 |         14 |         71 |       21.05% |
| common/src/Collision/CollisionPlane.cpp                                           | C++              |         14 |         12 |          4 |         30 |       46.15% |
| common/src/Collision/ContactConstraint.cpp                                        | C++              |         32 |          9 |          9 |         50 |       21.95% |
| common/src/Collision/ContactImpulse.cpp                                           | C++              |        129 |         27 |         34 |        190 |       17.31% |
| common/src/Collision/ContactSpringDamper.cpp                                      | C++              |         70 |         24 |         11 |        105 |       25.53% |
| common/src/ControlParameters/ControlParameterInterface.cpp                        | C++              |         16 |         11 |          2 |         29 |       40.74% |
| common/src/ControlParameters/ControlParameters.cpp                                | C++              |        363 |         65 |         61 |        489 |       15.19% |
| common/src/Controllers/ContactEstimator.cpp                                       | C++              |          1 |          7 |          2 |         10 |       87.50% |
| common/src/Controllers/DesiredStateCommand.cpp                                    | C++              |        154 |         42 |         23 |        219 |       21.43% |
| common/src/Controllers/FootSwingTrajectory.cpp                                    | C++              |         23 |         11 |          6 |         40 |       32.35% |
| common/src/Controllers/GaitScheduler.cpp                                          | C++              |        364 |        124 |         86 |        574 |       25.41% |
| common/src/Controllers/LegController.cpp                                          | C++              |        209 |         61 |         41 |        311 |       22.59% |
| common/src/Controllers/OrientationEstimator.cpp                                   | C++              |         58 |         19 |         14 |         91 |       24.68% |
| common/src/Controllers/PositionVelocityEstimator.cpp                              | C++              |        151 |         25 |         26 |        202 |       14.20% |
| common/src/Dynamics/DynamicsSimulator.cpp                                         | C++              |         78 |         36 |         23 |        137 |       31.58% |
| common/src/Dynamics/FloatingBaseModel.cpp                                         | C++              |        655 |        290 |        164 |      1,109 |       30.69% |
| common/src/Dynamics/Quadruped.cpp                                                 | C++              |        104 |        121 |         21 |        246 |       53.78% |
| common/src/SimUtilities/ImuSimulator.cpp                                          | C++              |         55 |         24 |         12 |         91 |       30.38% |
| common/src/SimUtilities/SpineBoard.cpp                                            | C++              |        105 |         18 |         16 |        139 |       14.63% |
| common/src/SimUtilities/ti_boardcontrol.cpp                                       | C++              |        114 |         46 |         22 |        182 |       28.75% |
| common/src/SparseCMPC/OsqpTriples.cpp                                             | C++              |         84 |         37 |         22 |        143 |       30.58% |
| common/src/SparseCMPC/SparseCMPC.cpp                                              | C++              |        248 |         91 |         69 |        408 |       26.84% |
| common/src/SparseCMPC/SparseCMPC_Math.cpp                                         | C++              |         19 |          2 |          8 |         29 |        9.52% |
| common/src/Utilities/PeriodicTask.cpp                                             | C++              |        113 |         41 |         20 |        174 |       26.62% |
| common/src/Utilities/SegfaultHandler.cpp                                          | C++              |         32 |         14 |         11 |         57 |       30.43% |
| common/src/Utilities/Utilities_print.cpp                                          | C++              |         19 |         10 |          3 |         32 |       34.48% |
| common/src/Utilities/filters.cpp                                                  | C++              |        271 |         17 |         64 |        352 |        5.90% |
| common/src/Utilities/save_file.cpp                                                | C++              |         23 |          3 |          5 |         31 |       11.54% |
| common/src/Utilities/utilities.cpp                                                | C++              |         26 |         17 |          8 |         51 |       39.53% |
| common/test/python_plot/plot_curve.py                                             | Python           |         30 |          4 |          7 |         41 |       11.76% |
| common/test/python_plot/plot_spline.py                                            | Python           |        101 |         13 |         15 |        129 |       11.40% |
| common/test/python_plot/plot_spline_1d.py                                         | Python           |         31 |          5 |          8 |         44 |       13.89% |
| common/test/python_plot/plot_spline_opt.py                                        | Python           |         60 |          9 |         10 |         79 |       13.04% |
| common/test/test_ControlParameters.cpp                                            | C++              |        157 |         17 |         36 |        210 |        9.77% |
| common/test/test_ImuSimulator.cpp                                                 | C++              |        161 |         30 |         54 |        245 |       15.71% |
| common/test/test_JCQP.cpp                                                         | C++              |        148 |          0 |         30 |        178 |        0.00% |
| common/test/test_LegController.cpp                                                | C++              |         51 |         13 |         16 |         80 |       20.31% |
| common/test/test_actuatorModel.cpp                                                | C++              |         86 |          9 |         18 |        113 |        9.47% |
| common/test/test_casadi.cpp                                                       | C++              |        302 |        104 |         93 |        499 |       25.62% |
| common/test/test_cheetah3_model.cpp                                               | C++              |         91 |         23 |         29 |        143 |       20.18% |
| common/test/test_dynamics.cpp                                                     | C++              |        293 |         76 |         71 |        440 |       20.60% |
| common/test/test_filters.cpp                                                      | C++              |         16 |          8 |          4 |         28 |       33.33% |
| common/test/test_footswing.cpp                                                    | C++              |         49 |          4 |         17 |         70 |        7.55% |
| common/test/test_goldfarb.cpp                                                     | C++              |         35 |          9 |         11 |         55 |       20.45% |
| common/test/test_math.cpp                                                         | C++              |         38 |          7 |         16 |         61 |       15.56% |
| common/test/test_mini_cheetah_model.cpp                                           | C++              |        257 |         81 |         67 |        405 |       23.96% |
| common/test/test_orientation_tools.cpp                                            | C++              |        152 |         59 |         38 |        249 |       27.96% |
| common/test/test_osqp.cpp                                                         | C++              |         95 |         15 |         18 |        128 |       13.64% |
| common/test/test_periodic_tasks.cpp                                               | C++              |         51 |          3 |         21 |         75 |        5.56% |
| common/test/test_sharedMemory.cpp                                                 | C++              |         45 |         20 |         16 |         81 |       30.77% |
